[2026-03-25T01:38:48.679Z] GET /api/settings
[2026-03-25T01:38:48.680Z] GET /api/invoices
[2026-03-25T01:38:49.583Z] OPTIONS /api/products
[2026-03-25T01:38:49.586Z] GET /api/products
[2026-03-25T01:38:50.471Z] OPTIONS /api/users
[2026-03-25T01:38:50.474Z] GET /api/users
[2026-03-25T01:39:00.862Z] OPTIONS /api/settings
[2026-03-25T01:39:00.869Z] GET /api/settings
[2026-03-25T01:39:05.064Z] OPTIONS /api/users
[2026-03-25T01:39:05.068Z] GET /api/users
[2026-03-25T01:39:15.229Z] OPTIONS /api/users/4
[2026-03-25T01:39:15.231Z] PUT /api/users/4
[2026-03-25T01:39:15.313Z] OPTIONS /api/users
[2026-03-25T01:39:15.319Z] GET /api/users
[2026-03-25T01:39:23.574Z] OPTIONS /api/auth/login
[2026-03-25T01:39:23.576Z] POST /api/auth/login
[2026-03-25T01:39:23.675Z] OPTIONS /api/invoices
[2026-03-25T01:39:23.677Z] OPTIONS /api/settings
[2026-03-25T01:39:23.693Z] GET /api/invoices
[2026-03-25T01:39:23.704Z] GET /api/settings
[2026-03-25T01:39:25.362Z] GET /api/invoices
[2026-03-25T01:39:27.357Z] GET /api/invoices
[2026-03-25T01:39:29.116Z] OPTIONS /api/invoices
[2026-03-25T01:39:29.119Z] GET /api/invoices
[2026-03-25T01:39:30.310Z] OPTIONS /api/users
[2026-03-25T01:39:30.312Z] OPTIONS /api/products
[2026-03-25T01:39:30.314Z] GET /api/users
[2026-03-25T01:39:30.317Z] GET /api/products
[2026-03-25T01:39:33.486Z] OPTIONS /api/ocr/scan
[2026-03-25T01:39:33.489Z] POST /api/ocr/scan
[2026-03-25T01:39:57.940Z] OPTIONS /api/invoices
[2026-03-25T01:39:57.941Z] POST /api/invoices
[2026-03-25T01:40:20.823Z] OPTIONS /api/invoices
[2026-03-25T01:40:20.825Z] OPTIONS /api/settings
[2026-03-25T01:40:20.827Z] GET /api/invoices
[2026-03-25T01:40:20.829Z] GET /api/settings
[2026-03-25T01:40:21.337Z] GET /api/invoices
[2026-03-25T01:40:21.672Z] GET /api/invoices
[2026-03-25T01:40:23.166Z] OPTIONS /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:40:23.169Z] GET /api/invoice-detail?id=INV%2F26%2F02%2F001538
[2026-03-25T01:40:24.923Z] GET /api/invoices
[2026-03-25T01:40:24.924Z] GET /api/settings
[2026-03-25T01:44:59.424Z] OPTIONS /api/settings
[2026-03-25T01:44:59.433Z] GET /api/settings
[2026-03-25T01:49:42.810Z] OPTIONS /api/invoices
[2026-03-25T01:49:42.812Z] OPTIONS /api/settings
[2026-03-25T01:49:42.814Z] GET /api/invoices
[2026-03-25T01:49:42.816Z] GET /api/settings
[2026-03-25T01:50:42.356Z] OPTIONS /api/invoices
[2026-03-25T01:50:42.359Z] GET /api/invoices
[2026-03-25T01:50:44.044Z] GET /api/invoices
[2026-03-25T01:50:44.569Z] GET /api/invoices
[2026-03-25T01:50:44.874Z] OPTIONS /api/settings
[2026-03-25T01:50:44.876Z] GET /api/invoices
[2026-03-25T01:50:44.883Z] GET /api/settings
[2026-03-25T02:09:02.650Z] OPTIONS /api/invoices
[2026-03-25T02:09:02.659Z] GET /api/invoices
[2026-03-25T02:09:04.086Z] GET /api/invoices
[2026-03-25T02:09:04.417Z] OPTIONS /api/settings
[2026-03-25T02:09:04.418Z] GET /api/invoices
[2026-03-25T02:09:04.420Z] GET /api/settings
[2026-03-25T03:16:20.647Z] OPTIONS /api/invoices
[2026-03-25T03:16:20.649Z] OPTIONS /api/settings
[2026-03-25T03:16:20.652Z] GET /api/invoices
[2026-03-25T03:16:20.656Z] GET /api/settings
[2026-03-25T03:16:33.250Z] OPTIONS /api/invoices
[2026-03-25T03:16:33.252Z] OPTIONS /api/settings
[2026-03-25T03:16:33.255Z] GET /api/invoices
[2026-03-25T03:16:33.256Z] GET /api/settings
[2026-03-25T03:16:45.656Z] OPTIONS /api/auth/login
[2026-03-25T03:16:45.658Z] POST /api/auth/login
[2026-03-25T03:16:45.755Z] OPTIONS /api/invoices
[2026-03-25T03:16:45.757Z] OPTIONS /api/settings
[2026-03-25T03:16:45.762Z] GET /api/invoices
[2026-03-25T03:16:45.764Z] GET /api/settings
[2026-03-25T03:16:47.130Z] OPTIONS /api/products
[2026-03-25T03:16:47.132Z] GET /api/products
[2026-03-25T03:17:03.322Z] OPTIONS /api/products/import
[2026-03-25T03:17:03.324Z] POST /api/products/import
[2026-03-25T03:17:03.370Z] Product import error: NOT NULL constraint failed: products.bottom_price
SqliteError: NOT NULL constraint failed: products.bottom_price
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:342:14)
    at sqliteTransaction (C:\Workshop\Commision-Employee\node_modules\better-sqlite3\lib\methods\transaction.js:65:24)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:347:5)
    at Layer.handleRequest (C:\Workshop\Commision-Employee\node_modules\router\lib\layer.js:152:17)
    at next (C:\Workshop\Commision-Employee\node_modules\router\lib\route.js:157:13)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:55:5)
    at C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:261:12
    at getSecret (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:97:14)
    at module.exports [as verify] (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:101:10)
    at authenticateToken (C:\Workshop\Commision-Employee\server\index.ts:52:7)
[2026-03-25T03:17:17.321Z] OPTIONS /api/products/import
[2026-03-25T03:17:17.324Z] POST /api/products/import
[2026-03-25T03:17:17.328Z] Product import error: NOT NULL constraint failed: products.bottom_price
SqliteError: NOT NULL constraint failed: products.bottom_price
