             ,,,HARGA USER ( LANTAI ),,,,HARGA USER ( AKSESORIS ),,,,,,
PU STONE (AT), Rp 184.500 ,NEW,KACA BEVEL KOTAK BROWN (B), Rp 46.500 ,,,DAUN BRACKET 30CM,Rp15.590,,, Rp 174.500 , Rp 188.460 , Rp 198.460 
PU ROSTER (KOTAK), Rp 263.800 ,NEW,KACA BEVEL SEGITIGA BROWN (B), Rp 41.800 ,,,,,,, Rp 253.800 , Rp 274.104 , Rp 284.104 
WALLPAPER PREMIUM   53CM X 10M, Rp 74.500 ,NEW,STICKER MOSAIK , Rp 10.600 ,NEW,,DAUN BRACKET 40CM,,,, Rp 64.500 , Rp 69.660 , Rp 79.660 
FRAME WPC PANEL   luar = 14x14cm dalam =9x9cm, Rp 30.000 ,NEW,SUNBLAST CLEAR (90CM X 50CM), Rp 13.000 ,,,,,,, Rp 20.000 , Rp 21.600 , Rp 31.600 
,,,SUNBLAST CLEAR (120CM X 50CM), Rp 15.200 ,,,,,,, Rp 26.600 , Rp 28.728 , Rp 38.728 
3D PANEL, Rp 35.500 ,NEW,SUNBLAST CLEAR KOTAK (120CM X 50CM), Rp 527.200 ,,,NOTE BARANG SALE !!!!,,,, Rp 25.500 , Rp 27.540 , Rp 37.540 
"SIKU L (1,5M)", Rp 34.800 ,NEW,SUNBLAST CLEAR (90CM X 50M), Rp 847.800 ,NEW,,FOAM MABRLE UK 30CM X 60CM ( MINIMAL 20 LEMBAR ),Rp3.900,,, Rp 24.800 , Rp 26.784 , Rp 36.784 
SIKU L (3M), Rp 42.300 ,NEW,SUNBLAST CLEAR (120CM X 50M), Rp 810.000 ,NEW,,WALLPAPER PREMIUM SALEE ( MINIMAL 10 ROLL ),Rp45.000,,, Rp 32.300 , Rp 34.884 , Rp 44.884 
, Rp 51.800 ,new,SUNBLAST CLEAR KOTAK (120CM X 50M), Rp 810.000 ,,,BARANG RIJEK,,,, Rp 41.800 , Rp 45.144 , Rp 55.144 
SIKU L PLAT (3X3), Rp 63.800 ,new,PVC SHEET (120CM X 50M), Rp 9.800 ,new,,,,,, Rp 53.800 , Rp 58.104 , Rp 68.104 
LIST T GOLD (3MM), Rp 46.300 ,,PVC SHEET (120CM X 25CM), Rp 9.800 ,new,,,,,,,0,
LIST T HITAM (3MM), Rp 53.500 ,NEW,,,,,NAMA BARANG, HARGA ,,,,,
LIST T SILVER (3MM), Rp 53.500 ,NEW,HARGA USER ( PEMBATAS & PLAFON ),,,,,,,,,,
LIST PLAT (2X3) ADA PEREKAT, Rp 63.800 ,NEW,NAMA BARANG,HARGA,,,,,,,,,
LIST T HITAM (8MM), Rp 58.500 ,NEW,,,,,,,,,,,
LIST T PANCING, Rp 58.500 ,NEW,"HOLLOW OUTDOOR (5X5) 2,9M", Rp 126.500 ,NEW,,LIST MOULDING PAKETAN UK 2 X 3,Rp474.200,new,,Rp374.200,Rp29.936,Rp504.136
LIST PLAT (3X3) ADA PEREKAT, Rp 69.800 ,,HOLLOW OUTDOOR (10X5) 2.9m, Rp 219.800 ,NEW,,LIST MOULDING PAKETAN UK  3 X 3,Rp509.500,new,,Rp409.500,Rp32.760,Rp542.260
LIST PLAT (2X3), Rp 24.000 ,,"HOLLOW OUTDOOR (5X5) 1,45M", Rp 75.800 ,NEW,,LIST MOULDING PAKETAN UK 4 X 3,Rp544.500,new,,Rp444.500,Rp35.560,Rp580.060
LIST PLAT (3X3),,,"HOLLOW OUTDOOR (10X5) 1,45M", Rp 122.200 ,NEW,,LIST MOULDING PAKETAN UK 5 X 3,Rp720.500,new,,Rp620.500,Rp49.640,Rp770.140
LIST PLAT GOLD (3CM X 50M) ADA PEREKAT, Rp 412.500 ,NEW,KISI KISI PEMBATAS (10X5), Rp 106.900 ,NEW,,LIST MOULDING PAKETAN SULTAN UK 3 X 3 ,Rp767.800,new,,Rp667.800,Rp53.424,Rp821.224
LIST PLAT GOLD (2CM X 50M) ADA PEREKAT, Rp 263.000 ,,KISI KISI PEMBATAS (4X5), Rp 74.600 ,NEW,,LIST MOULDING PAKE SULTAN UK 4 X 3 ,Rp908.600,new,,Rp808.600,Rp64.688,Rp973.288
